MUESTRA	GEN	TYPE
ET-M1	APC	single
ET-M1	KRAS	single
ET-M1	PIK3CA	single
ET-M1	TP53	single
ET-M2	AMER1	single
ET-M2	APC	single
ET-M2	ERBB2	single
ET-M2	TP53	single
ET-M3	APC	single
ET-M4	HLA-A	single
ET-M4	KMT2C	single
ET-M4	TP53	single
ET-M5	APC	single
ET-M5	KRAS	single
ET-M5	TP53	single
ET-M6	BRAF	single
ET-M6	TP53	single
ET-M7	APC	single
ET-M8	APC	single
ET-M9	APC	single
ET-M9	FANCD2	single
ET-M9	FOXP1	single
ET-M10	APC	single
ET-M10	KRAS	single
ET-M10	MAP2K4	single
ET-M10	SMAD4	single
ET-M10	TP53	single
ET-M11	BRAF	single
ET-M11	RNF43	single
ET-M11	TP53	single
ET-M12	GNAQ	single
ET-M12	KRAS	single
ET-M12	TP53	single
ET-M13	APC	single
ET-M13	CTNNB1	single
ET-M13	TP53	single
ET-M14	GNAS	single
ET-M14	KRAS	single
ET-M15	BRAF	single
ET-M15	IDH1	single
EP-M1	APC	single
EP-M1	KMT2C	single
EP-M1	KRAS	single
EP-M1	NOTCH1	single
EP-M1	PIK3CA	single
EP-M1	TP53	single
EP-M2	AMER1	single
EP-M2	APC	single
EP-M2	ERBB2	single
EP-M2	GNAQ	single
EP-M2	TP53	single
EP-M3	APC	single
EP-M4	HLA-A	single
EP-M4	KMT2C	single
EP-M4	LATS1	single
EP-M4	TP53	single
EP-M5	APC	single
EP-M5	AXIN2	single
EP-M5	KMT2C	single
EP-M5	KRAS	single
EP-M6	BRAF	single
EP-M6	GNAQ	single
EP-M6	TP53	single
EP-M7	APC	single
EP-M7	IDH1	single
EP-M8	APC	single
EP-M8	ARID1B	single
EP-M8	HLA-A	single
EP-M9	APC	single
EP-M9	FANCD2	single
EP-M9	FOXP1	single
EP-M10	APC	single
EP-M10	GRIN2A	single
EP-M10	KRAS	single
EP-M10	MAP2K4	single
EP-M10	MAP3K1	single
EP-M10	SF3B1	single
EP-M10	SMAD4	single
EP-M10	SRSF2	single
EP-M10	TP53	single
EP-M11	ARID1B	single
EP-M11	BRAF	single
EP-M11	SOX9	single
EP-M11	TP53	single
EP-M12	GNAQ	single
EP-M12	JAK2	single
EP-M12	TP53	single
EP-M13	APC	single
EP-M13	CTNNB1	single
EP-M13	PMS2	single
EP-M13	TP53	single
EP-M13	TSC2	single
EP-M14	GNAS	single
EP-M14	KRAS	single
EP-M14	PTCH1	single
EP-M14	SMAD4	single
EP-M14	TET2	single
EP-M14	TP53	single
EP-M15	BRAF	single
EP-M15	BRCA2	single
EP-M15	IDH1	single
EP-M15	MUTYH	single
EP-M15	SETD2	single
EP-M15	SOX9	single
