MUESTRA	GEN	TYPE
ET104	ANKRD11	single
ET104	ATM	single
ET104	KRAS	single
ET104	PIK3CA	single
ET104	SMAD3	single
ET104	TP53	single
ET107	APC	single
ET107	AXIN2	single
ET107	DNMT3A	single
ET107	JAK1	single
ET107	KMT2B	single
ET107	KMT2D	single
ET107	KRAS	single
ET107	MST1	single
ET107	PIK3CA	single
ET107	PMS1	single
ET107	TP53	single
ET136	APC	single
ET136	KRAS	single
ET136	MAP3K1	single
ET136	PIK3R1	single
ET136	PTPRS	single
ET136	RECQL	single
ET138	ARID1A	single
ET138	ATM	single
ET138	CHEK2	single
ET138	CIC	single
ET138	CUX1	single
ET138	HLA-B	single
ET138	HNF1A	single
ET138	MSH3	single
ET138	PTCH1	single
ET138	PTEN	single
ET138	TP53	single
ET13	APC	single
ET13	ARID1A	single
ET13	CHEK1	single
ET13	DDX3X	single
ET13	KRAS	single
ET13	PALB2	single
ET13	PTPRS	single
ET13	SMAD4	single
ET13	TERT	single
ET150	APC	single
ET150	DNMT3A	single
ET150	HLA-B	single
ET150	PALB2	single
ET150	PMS1	single
ET150	TP53	single
ET158	APC	single
ET158	ARID1A	single
ET158	CIC	single
ET158	HLA-B	single
ET158	JAK1	single
ET158	KMT2C	single
ET158	MSH3	single
ET158	PIK3CA	single
ET158	PTCH1	single
ET158	PTEN	single
ET158	SOX9	single
ET158	TP53	single
ET161	APC	single
ET161	ARID1A	single
ET161	CHEK2	single
ET161	KRAS	single
ET161	PALB2	single
ET161	PIK3CA	single
ET161	SMAD3	single
ET161	SOX9	single
ET185	APC	single
ET185	CHEK2	single
ET185	KMT2B	single
ET185	KRAS	single
ET185	MST1	single
ET185	PIK3R1	single
ET185	SOX9	single
ET185	TERT	single
ET189	APC	single
ET189	CIC	single
ET189	KRAS	single
ET189	TP53	single
ET204	ANKRD11	single
ET204	APC	single
ET204	BRCA1	single
ET204	CHEK2	single
ET204	CYLD	single
ET204	KMT2D	single
ET204	KRAS	single
ET204	MAP3K1	single
ET204	MGA	single
ET204	MTOR	single
ET204	PIK3R1	single
ET204	PTEN	single
ET204	RAD51B	single
ET204	SMAD4	single
ET204	TGFBR1	single
ET207	APC	single
ET207	BRCA1	single
ET207	CHEK1	single
ET207	FBXW7	single
ET207	KRAS	single
ET207	PIK3CA	single
ET207	TGFBR1	single
ET242	APC	single
ET242	MGA	single
ET242	RECQL	single
ET242	SOX9	single
ET242	TP53	single
ET243	APC	single
ET243	ATXN2	single
ET243	BRCA1	single
ET243	CHEK2	single
ET243	DDX3X	single
ET243	PIK3CA	single
ET243	TP53	single
ET24	APC	single
ET24	AXIN2	single
ET24	ERBB2	single
ET24	FBXW7	single
ET24	KMT2D	single
ET24	KRAS	single
ET24	PTEN	single
ET24	SMAD4	single
ET24	TP53	single
ET259	MST1	single
ET259	TP53	single
ET261	ATXN2	single
ET45	DNMT3A	single
ET45	KRAS	single
ET45	NF2	single
ET45	PIK3CA	single
ET45	PMS1	single
ET45	RAD51B	single
ET45	TGFBR1	single
ET48	ATM	single
ET48	DDX3X	single
ET48	KRAS	single
ET48	TP53	single
ET49	APC	single
ET49	CIC	single
ET49	HLA-A	single
ET49	HLA-B	single
ET49	PIK3CA	single
ET49	TP53	single
ET62	ARID1A	single
ET62	ATM	single
ET62	AXIN2	single
ET62	CYLD	single
ET62	DDX3X	single
ET62	HLA-B	single
ET62	HNF1A	single
ET62	JAK1	single
ET62	KMT2C	single
ET62	KMT2D	single
ET62	MAP3K1	single
ET62	MGA	single
ET62	MSH3	single
ET62	RECQL4	single
ET62	RECQL	single
ET62	TP53	single
ET63	APC	single
ET63	BRCA1	single
ET63	FBXW7	single
ET63	HNF1A	single
ET63	JAK1	single
ET63	NF1	single
ET63	RECQL4	single
ET63	TERT	single
ET63	TP53	single
ET7	APC	single
ET7	KMT2D	single
ET7	MLH1	single
ET7	NF2	single
ET7	SMAD4	single
ET7	TP53	single
ET85	BRCA1	single
ET85	KRAS	single
ET85	SMAD3	single
ET8	ANKRD11	single
ET8	APC	single
ET8	TP53	single
P104	ATM	single
P104	KMT2B	single
P104	MED12	single
P104	PIK3CA	single
P107		
P136	ANKRD11	single
P136	ERBB2	single
P136	KMT2C	single
P136	NF2	single
P136	PIK3CA	single
P136	PTPRS	single
P138	KMT2C	single
P138	TSC2	single
P13	CIC	single
P13	ERBB2	single
P13	HLA-B	single
P13	MLH1	single
P13	PALB2	single
P150	APC	single
P150	HLA-B	single
P150	KMT2C	single
P150	TP53	single
P158	APC	single
P158	ARID1A	single
P158	ATM	single
P158	CYLD	single
P158	HLA-B	single
P158	JAK1	single
P158	KMT2B	single
P158	KMT2C	single
P158	MED12	single
P158	MSH3	single
P158	MTOR	single
P158	PIK3R1	single
P158	PTCH1	single
P158	PTEN	single
P158	PTPRS	single
P158	SOX9	single
P158	TP53	single
P158	TSC2	single
P161	APC	single
P161	ARID1A	single
P161	HLA-A	single
P161	HLA-B	single
P161	KRAS	single
P161	PIK3CA	single
P161	SMAD3	single
P161	SOX9	single
P185	DNMT3A	single
P185	KMT2B	single
P185	KRAS	single
P185	MST1	single
P189	CHEK1	single
P189	KRAS	single
P204	KMT2B	single
P204	MED12	single
P207		
P242	AXIN2	single
P242	SMAD4	single
P243	DNMT3A	single
P24	APC	single
P24	ERBB2	single
P24	FBXW7	single
P24	MLH1	single
P24	TP53	single
P259	MST1	single
P259	TP53	single
P261	ATXN2	single
P261	PTEN	single
P261	TP53BP1	single
P45	NF1	single
P45	RET	single
P48	DNMT3A	single
P48	HLA-A	single
P48	RAD51B	single
P49	APC	single
P49	BRCA1	single
P49	HLA-A	single
P49	HLA-B	single
P49	PIK3CA	single
P49	TP53	single
P62	ANKRD11	single
P62	APC	single
P62	ARID1A	single
P62	ATM	single
P62	AXIN2	single
P62	CHEK1	single
P62	CUX1	single
P62	HLA-B	single
P62	KMT2D	single
P62	MED12	single
P62	MGA	single
P62	MSH3	single
P62	MTOR	single
P62	NF1	single
P62	NF2	single
P62	RET	single
P62	TP53	single
P63	ERBB2	single
P63	HLA-B	single
P63	TSC2	single
P7	CUX1	single
P7	ERBB2	single
P7	MLH1	single
P7	RAD51B	single
P85	ATXN2	single
P85	CHEK1	single
P85	TP53	single
P85	TSC2	single
P8	APC	single
P8	ATXN2	single
P8	KRAS	single
P8	PTCH1	single
P8	RET	single
P8	TP53	single
